freq_Hz,VCO,REF,DTC,MMD,SPD_GM,DSM_QN,TOTAL
63022952.750,-152.461,-185.116,-179.667,-182.306,-184.306,-164.255,-152.166
64867935.348,-152.713,-185.622,-180.168,-182.807,-184.807,-165.121,-152.455
66766929.392,-152.965,-186.128,-180.668,-183.307,-185.307,-166.064,-152.742
68721516.054,-153.217,-186.633,-181.169,-183.808,-185.808,-167.093,-153.028
70733322.796,-153.469,-187.138,-181.669,-184.308,-186.308,-168.220,-153.312
72804024.723,-153.720,-187.644,-182.170,-184.809,-186.809,-169.460,-153.593
74935345.977,-153.972,-188.149,-182.670,-185.309,-187.309,-170.830,-153.871
77129061.176,-154.224,-188.654,-183.171,-185.810,-187.810,-172.353,-154.146
79386996.888,-154.475,-189.159,-183.672,-186.311,-188.311,-174.058,-154.417
81711033.155,-154.727,-189.664,-184.172,-186.811,-188.811,-175.984,-154.684
84103105.054,-154.978,-190.169,-184.673,-187.312,-189.312,-178.182,-154.947
86565204.313,-155.230,-190.674,-185.174,-187.813,-189.813,-180.730,-155.208
89099380.968,-155.481,-191.178,-185.675,-188.314,-190.314,-183.739,-155.466
91707745.067,-155.732,-191.683,-186.175,-188.814,-190.814,-187.393,-155.721
94392468.432,-155.984,-192.187,-186.676,-189.315,-191.315,-192.018,-155.975
97155786.463,-156.235,-192.692,-187.177,-189.816,-191.816,-198.290,-156.227
100000000.000,-156.486,-193.196,-187.678,-190.317,-192.317,-208.040,-156.479
